Date,CAPE
1881.01,18.473952301404942
1881.02,18.147258164990237
1881.03,18.270119140205
1881.04,17.9501082782229
1881.05,18.8697186931526
1881.06,19.028710731115787
1881.07,18.11636718738975
1881.08,17.286243553973453
1881.09,16.724836648772907
1881.10,16.26198941118136
1881.11,16.478642316644876
1881.12,15.958754206105086
1882.01,15.678764160028749
1882.02,15.153861528363045
1882.03,15.091670299486752
1882.04,14.916997168375305
1882.05,14.567103202191763
1882.06,14.327404890131673
1882.07,15.240559761217828
1882.08,15.525429331463036
1882.09,16.081106624462322
1882.10,15.755581030526566
1882.11,15.192670313165346
1882.12,15.382128332081974
1883.01,15.27025911909858
1883.02,14.757590146176225
1883.03,15.05125412140164
1883.04,15.482067222036678
1883.05,15.335497637337072
1883.06,15.9033883885838
1883.07,15.948783127017036
1883.08,15.196810876629849
1883.09,15.494692425793462
1883.10,15.04805627022384
1883.11,15.408218142448874
1883.12,14.896403941887169
1884.01,14.432821721970726
1884.02,14.805960228816714
1884.03,14.736023454014472
1884.04,14.353453682579472
1884.05,13.465050313804904
1884.06,12.906876483666858
1884.07,13.043931585991666
1884.08,13.859813341769321
1884.09,13.569154744335725
1884.10,13.273251319134156
1884.11,13.304437602119728
1884.12,13.432292746944759
1885.01,13.12981742563596
1885.02,13.384817593597964
1885.03,13.73419409345251
1885.04,13.548548541030055
1885.05,13.711371872561935
1885.06,13.97878436869835
1885.07,14.326658777089323
1885.08,15.130410796707151
1885.09,15.116285028724239
1885.10,15.991023962168976
1885.11,16.82403449861901
1885.12,16.304475952278512
1886.01,16.692317470797644
1886.02,17.006648259460988
1886.03,16.843266101570123
1886.04,16.801716131246298
1886.05,16.86319551509782
1886.06,17.831494055376876
1886.07,17.845845041532204
1886.08,17.723912799619264
1886.09,18.14714392580002
1886.10,18.56238134286656
1886.11,18.968312634942826
1886.12,18.19405755688643
1887.01,17.512222096304942
1887.02,17.125366596972306
1887.03,17.473213711513747
1887.04,17.822983639100702
1887.05,18.075445427458234
1887.06,17.707695663272975
1887.07,17.431460535613066
1887.08,16.739849614820695
1887.09,16.676629667380134
1887.10,15.880666812517303
1887.11,15.950712201066763
1887.12,15.455513454469937
1888.01,15.3586625142599
1888.02,15.418178318820527
1888.03,14.80897236694656
1888.04,15.020108681844453
1888.05,15.387916957229123
1888.06,15.077628818434684
1888.07,15.279642515498168
1888.08,15.6029116700888
1888.09,15.987828821761413
1888.10,15.715941874329696
1888.11,15.223749016946272
1888.12,14.94674830108922
1889.01,15.802286071028155
1889.02,16.192720447848988
1889.03,16.065045360769282
1889.04,16.050104533967477
1889.05,16.915421076068373
1889.06,17.219302943947678
1889.07,16.88921449110751
1889.08,17.131853975345724
1889.09,17.350788026348592
1889.10,17.053214402955486
1889.11,16.906021170249367
1889.12,16.610338076603387
1890.01,17.2200719821819
1890.02,17.026814982671407
1890.03,16.901122288589903
1890.04,17.257854542603198
1890.05,17.78643048785862
1890.06,17.68436084445016
1890.07,17.589295440864856
1890.08,16.5967911339791
1890.09,16.169702000615302
1890.10,15.482849163344435
1890.11,14.745043493292803
1890.12,14.442991231338443
1891.01,15.428980086469098
1891.02,15.476522332432541
1891.03,15.051623357657386
1891.04,15.408945125474128
1891.05,15.566495230713254
1891.06,15.658211395638151
1891.07,15.617919238645996
1891.08,16.16399850996304
1891.09,17.711261413256533
1891.10,17.71656858982637
1891.11,17.671739174764006
1891.12,18.206303000209942
1892.01,19.016388404225275
1892.02,19.03642504097844
1892.03,19.73805484932302
1892.04,19.94326524163865
1892.05,19.911465213489812
1892.06,19.76928439713675
1892.07,19.21188643450556
1892.08,19.204303803173826
1892.09,18.694271809588205
1892.10,19.04021491532471
1892.11,18.4633126908
1892.12,18.013009251275736
1893.01,17.656643708098773
1893.02,17.12519385487245
1893.03,16.899589031582323
1893.04,17.102541578254918
1893.05,15.780987310776252
1893.06,15.41650386359769
1893.07,14.349854182760946
1893.08,14.58805653580781
1893.09,15.012069079138762
1893.10,15.271794153520187
1893.11,15.942411400571672
1893.12,15.612694335464935
1894.01,15.739869351948222
1894.02,16.202736596449924
1894.03,17.187622088121934
1894.04,17.43484907805245
1894.05,16.808751920918006
1894.06,16.606319695292523
1894.07,16.289679714916947
1894.08,16.457777072998365
1894.09,16.52231544487721
1894.10,16.502904205708422
1894.11,16.54278444744455
1894.12,16.672466333767726
1895.01,16.52444393516271
1895.02,16.331237693211403
1895.03,16.364625427174797
1895.04,16.387543823686293
1895.05,17.080369553382386
1895.06,17.207413539783385
1895.07,17.546014648740552
1895.08,18.074072547241794
1895.09,18.20033594660546
