Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
CONOCOPHILLIPS,COP,20825C104,2685717,0.242718,-,14887192,USD
EATON CORP PLC,ETN,G29183103,B8KQN82,0.240135,-,4745455,USD
DEERE + CO,DE,244199105,2261203,0.2394,-,3069636,USD
WESTERN DIGITAL CORP,WDC,958102105,2954699,0.234714,-,4210774,USD
TJX COMPANIES INC,TJX,872540109,2989301,0.233095,-,13513866,USD
NEWMONT CORP,NEM,651639106,2636607,0.217887,-,13037860,USD
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.211922,-,3099750,USD
BRISTOL MYERS SQUIBB CO,BMY,110122108,2126335,0.209481,-,24940512,USD
DANAHER CORP,DHR,235851102,2250870,0.205466,-,7693173,USD
PROLOGIS INC,PLD,74340W103,B44WZD7,0.205242,-,11579445,USD
CAPITAL ONE FINANCIAL CORP,COF,14040H105,2654461,0.203322,-,7603377,USD
INTUITIVE SURGICAL INC,ISRG,46120E602,2871301,0.198914,-,4325805,USD
SERVICENOW INC,NOW,81762P102,B80NXX8,0.197893,-,12600442,USD
S+P GLOBAL INC,SPGI,78409V104,BYV2325,0.197831,-,3702953,USD
DELL TECHNOLOGIES  C,DELL,24703L202,BHKD3S6,0.197342,-,3534443,USD
PROGRESSIVE CORP,PGR,743315103,2705024,0.195994,-,7136268,USD
PARKER HANNIFIN CORP,PH,701094104,2671501,0.193541,-,1539945,USD
CHUBB LTD,CB,H1467J104,B3BQMF6,0.186914,-,4405201,USD
STARBUCKS CORP,SBUX,855244109,2842255,0.182037,-,13918629,USD
LOWE S COS INC,LOW,548661107,2536763,0.181515,-,6839753,USD
CVS HEALTH CORP,CVS,126650100,2577609,0.179016,-,15582422,USD
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,0.17671,-,15678695,USD
CORNING INC,GLW,219350105,2224701,0.174073,-,9565323,USD
FREEPORT MCMORAN INC,FCX,35671D857,2352118,0.173844,-,17592110,USD
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.173298,-,7496732,USD
STRYKER CORP,SYK,863667101,2853688,0.172252,-,4213393,USD
ALTRIA GROUP INC,MO,02209S103,2692632,0.171646,-,20390929,USD
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,0.170693,-,4881185,USD
LOCKHEED MARTIN CORP,LMT,539830109,2522096,0.170636,-,2479409,USD
BANK OF NEW YORK MELLON CORP,BNY,064058100,B1Z77F6,0.169623,-,8381624,USD
ADOBE INC,ADBE,00724F101,2008154,0.167173,-,4935151,USD
MCKESSON CORP,MCK,58155Q103,2378534,0.164348,-,1468353,USD
BLACKSTONE INC,BX,09260D107,BKF2SL7,0.16087,-,9071002,USD
EQUINIX INC,EQIX,29444U700,BVLZX12,0.160054,-,1205724,USD
HOWMET AEROSPACE INC,HWM,443201108,BKLJ8V2,0.159537,-,4885958,USD
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,0.15643,-,3564476,USD
SOUTHERN CO/THE,SO,842587107,2829601,0.153144,-,13764547,USD
VALERO ENERGY CORP,VLO,91913Y100,2041364,0.152612,-,3625316,USD
TRANE TECHNOLOGIES PLC,TT,G8994E103,BK9ZQ96,0.151942,-,2698893,USD
CME GROUP INC,CME,12572Q105,2965839,0.15171,-,4423770,USD
INTUIT INC,INTU,461202103,2459020,0.149591,-,3384057,USD
VERTIV HOLDINGS CO A,VRT,92537N108,BL3LWS8,0.148578,-,4697814,USD
PNC FINANCIAL SERVICES GROUP,PNC,693475105,2692665,0.148022,-,4903404,USD
US BANCORP,USB,902973304,2736035,0.146278,-,18953184,USD
COMCAST CORP CLASS A,CMCSA,20030N101,2044545,0.146115,-,43599619,USD
CSX CORP,CSX,126408103,2160753,0.144847,-,22739213,USD
GENERAL DYNAMICS CORP,GD,369550108,2365161,0.144646,-,3106049,USD
FORTINET INC,FTNT,34959E109,B5B2106,0.144469,-,7602758,USD
PHILLIPS 66,PSX,718546104,B78C4Y8,0.143731,-,4906182,USD
DUKE ENERGY CORP,DUK,26441C204,B7VD3F2,0.143107,-,9517497,USD
3M CO,MMM,88579Y101,2595708,0.141573,-,6382451,USD
MARSH + MCLENNAN COS,MRSH,571748102,2567741,0.141006,-,5895773,USD
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.13854,-,3375420,USD
INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,BFSSDS9,0.138459,-,6920795,USD
QUANTA SERVICES INC,PWR,74762E102,2150204,0.136803,-,1832214,USD
CONSTELLATION ENERGY,CEG,21037T109,BMH4FS1,0.134687,-,3911868,USD
ROBINHOOD MARKETS INC   A,HOOD,770700102,BP0TQN6,0.133889,-,9659086,USD
DOORDASH INC   A,DASH,25809K105,BN13P03,0.133716,-,4630794,USD
EMERSON ELECTRIC CO,EMR,291011104,2313405,0.131356,-,6854720,USD
WILLIAMS COS INC,WMB,969457100,2967181,0.13133,-,14940834,USD
ELEVANCE HEALTH INC,ELV,036752103,BSPHGL4,0.131089,-,2657628,USD
JOHNSON CONTROLS INTERNATION,JCI,G51502105,BY7QL61,0.130948,-,7466533,USD
T MOBILE US INC,TMUS,872590104,B94Q9V0,0.127902,-,5695047,USD
APPLOVIN CORP CLASS A,APP,03831W108,BMV3LG4,0.12644,-,3292501,USD
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,0.126055,-,1222873,USD
AMERICAN TOWER CORP,AMT,03027X100,B7FBFL2,0.125901,-,5701389,USD
WASTE MANAGEMENT INC,WM,94106L109,2937667,0.124191,-,4521078,USD
MONDELEZ INTERNATIONAL INC A,MDLZ,609207105,B8CKK03,0.122047,-,15667963,USD
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.121896,-,2030749,USD
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,0.121649,-,2806996,USD
SLB LTD,SLB,806857108,2779201,0.120567,-,18295372,USD
AIRBNB INC CLASS A,ABNB,009066101,BMGYYH4,0.120481,-,5114238,USD
CUMMINS INC,CMI,231021106,2240202,0.119587,-,1688650,USD
NORFOLK SOUTHERN CORP,NSC,655844108,2641894,0.119099,-,2741962,USD
TRAVELERS COS INC/THE,TRV,89417E109,2769503,0.118948,-,2602042,USD
UNITED PARCEL SERVICE CL B,UPS,911312106,2517382,0.118794,-,9136580,USD
SYNOPSYS INC,SNPS,871607107,2867719,0.118506,-,2344230,USD
MARRIOTT INTERNATIONAL  CL A,MAR,571903202,2210614,0.118502,-,2678438,USD
EOG RESOURCES INC,EOG,26875P101,2318024,0.118355,-,6518263,USD
ROSS STORES INC,ROST,778296103,2746711,0.117591,-,3942516,USD
GENERAL MOTORS CO,GM,37045V100,B665KZ5,0.117092,-,11034338,USD
MOODY S CORP,MCO,615369105,2252058,0.116661,-,1838540,USD
AON PLC CLASS A,AON,G0403H108,BLP1HW5,0.114693,-,2613819,USD
HILTON WORLDWIDE HOLDINGS IN,HLT,43300A203,BYVMW06,0.113452,-,2785910,USD
O REILLY AUTOMOTIVE INC,ORLY,67103H107,B65LWX6,0.113269,-,10141112,USD
KKR + CO INC,KKR,48251W104,BG1FRR1,0.11256,-,8460766,USD
TARGET CORP,TGT,87612E106,2259101,0.112153,-,5547929,USD
BOSTON SCIENTIFIC CORP,BSX,101137107,2113434,0.11215,-,18188883,USD
THE CIGNA GROUP,CI,125523100,BHJ0775,0.11181,-,3236969,USD
DATADOG INC   CLASS A,DDOG,23804L103,BKT9Y49,0.111647,-,4048732,USD
ILLINOIS TOOL WORKS,ITW,452308109,2457552,0.111597,-,3204067,USD
ECOLAB INC,ECL,278865100,2304227,0.110992,-,3099850,USD
FEDEX CORP,FDX,31428X106,2142784,0.110852,-,2686167,USD
COLGATE PALMOLIVE CO,CL,194162103,2209106,0.110599,-,9792545,USD
ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.110347,-,3052855,USD
NORTHROP GRUMMAN CORP,NOC,666807102,2648806,0.109595,-,1633555,USD
WARNER BROS DISCOVERY INC,WBD,934423104,BM8JYX3,0.108392,-,30329065,USD
SIMON PROPERTY GROUP INC,SPG,828806109,2812452,0.107469,-,3968408,USD
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.107271,-,16232095,USD
MONSTER BEVERAGE CORP,MNST,61174X109,BZ07BW4,0.105244,-,17464668,USD
CINTAS CORP,CTAS,172908105,2197137,0.105117,-,4151319,USD
ARTHUR J GALLAGHER + CO,AJG,363576109,2359506,0.104394,-,3143937,USD
LUMENTUM HOLDINGS INC,LITE,55024U109,BYM9ZP2,0.104254,-,951989,USD
HONEYWELL INTERNATIONAL INC,HON,438516205,BN7RHC5,0.103412,-,3877202,USD
PACCAR INC,PCAR,693718108,2665861,0.102916,-,6440400,USD
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,0.102428,-,2725953,USD
DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,0.101156,-,4253302,USD
AMERICAN ELECTRIC POWER,AEP,025537101,2026242,0.101086,-,6658231,USD
TRANSDIGM GROUP INC,TDG,893641100,B11FJK3,0.100901,-,684162,USD
HCA HEALTHCARE INC,HCA,40412C101,B4MGBG6,0.100759,-,1900330,USD
ALLSTATE CORP,ALL,020002101,2019952,0.100354,-,3150018,USD
UNITED RENTALS INC,URI,911363109,2134781,0.099811,-,766392,USD
CRH PLC,CRH,G25508105,B01ZKD6,0.097275,-,8176857,USD
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.096902,-,600848,USD
CENCORA INC,COR,03073E105,2795393,0.096601,-,2381149,USD
TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,0.094837,-,15246495,USD
TARGA RESOURCES CORP,TRGP,87612G101,B55PZY3,0.093186,-,2626406,USD
APOLLO GLOBAL MANAGEMENT INC,APO,03769M106,BN44JF6,0.092952,-,5643866,USD
BAKER HUGHES CO,BKR,05722G100,BDHLTQ5,0.092828,-,12142448,USD
KINDER MORGAN INC,KMI,49456B101,B3NQ4P8,0.091671,-,23959186,USD
DOMINION ENERGY INC,D,25746U109,2542049,0.089082,-,10762826,USD
TE CONNECTIVITY PLC,TEL,G87052109,BRC3N84,0.088967,-,3571976,USD
REALTY INCOME CORP,O,756109104,2724193,0.088661,-,11410992,USD
ONEOK INC,OKE,682680103,2130109,0.08743,-,7709870,USD
FASTENAL CO,FAST,311900104,2332262,0.087405,-,14048823,USD
TERADYNE INC,TER,880770102,2884183,0.086777,-,1915015,USD
NXP SEMICONDUCTORS NV,NXPI,N6596X109,B505PN7,0.085886,-,3090158,USD
WW GRAINGER INC,GWW,384802104,2380863,0.085541,-,531411,USD
NUCOR CORP,NUE,670346105,2651086,0.085319,-,2787032,USD
COHERENT CORP,COHR,19247G107,BNG8Z81,0.085297,-,2393802,USD
MODERNA INC,MRNA,60770K107,BGSXTS3,0.084889,-,4321937,USD
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.084333,-,2866330,USD
CORTEVA INC,CTVA,22052L104,BK73B42,0.084062,-,8184983,USD
AMETEK INC,AME,031100100,2089212,0.083866,-,2805046,USD
SEMPRA,SRE,816851109,2138158,0.083129,-,7999752,USD
PAYPAL HOLDINGS INC,PYPL,70450Y103,BYW36M8,0.083124,-,10794530,USD
COMFORT SYSTEMS USA INC,FIX,199908104,2036047,0.083016,-,429784,USD
KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,BQZJ0Q9,0.082884,-,2093713,USD
CIENA CORP,CIEN,171779309,B1FLZ21,0.082765,-,1726458,USD
FORD MOTOR CO,F,345370860,2615468,0.082625,-,47895638,USD
DELTA AIR LINES INC,DAL,247361702,B1W9D46,0.082604,-,7988219,USD
CARVANA CO,CVNA,146869102,BYQHPG3,0.082132,-,8765467,USD
PUBLIC STORAGE,PSA,74460D109,2852533,0.081895,-,2052389,USD
DEVON ENERGY CORP,DVN,25179M103,2480677,0.08161,-,14068099,USD
STATE STREET CORP,STT,857477103,2842040,0.080808,-,3386616,USD
AFLAC INC,AFL,001055102,2026361,0.080535,-,5605437,USD
AUTODESK INC,ADSK,052769106,2065159,0.080262,-,2583621,USD
EDWARDS LIFESCIENCES CORP,EW,28176E108,2567116,0.079184,-,7046546,USD
BECTON DICKINSON AND CO,BDX,075887109,2087807,0.079141,-,3372149,USD
METLIFE INC,MET,59156R108,2573209,0.078413,-,6613957,USD
HONEYWELL AEROSPACE INC,HONA,43849R105,BN7RHB4,0.076888,-,3877202,USD
WABTEC CORP,WAB,929740108,2955733,0.076236,-,2076119,USD
AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.076214,-,1100032,USD
AUTOZONE INC,AZO,053332102,2065955,0.075451,-,201541,USD
FIFTH THIRD BANCORP,FITB,316773100,2336747,0.075103,-,11064244,USD
AXON ENTERPRISE INC,AXON,05464C101,BDT5S35,0.07482,-,986582,USD
VIVMARK RESIDENTIAL,VMRK,29476L107,2319157,0.074509,-,8910321,USD
L3HARRIS TECHNOLOGIES INC,LHX,502431109,BK9DTN5,0.073914,-,2279824,USD
ENTERGY CORP,ETR,29364G103,2317087,0.073614,-,5603095,USD
XCEL ENERGY INC,XEL,98389B100,2614807,0.072926,-,7639758,USD
CHIPOTLE MEXICAN GRILL INC,CMG,169656105,B0X7DZ3,0.072657,-,15697083,USD
ROCKWELL AUTOMATION INC,ROK,773903109,2754060,0.072287,-,1361310,USD
NIKE INC  CL B,NKE,654106103,2640147,0.071667,-,14679053,USD
GARMIN LTD,GRMN,H2906T109,B3Z5T14,0.07131,-,1999107,USD
EBAY INC,EBAY,278642103,2293819,0.07122,-,5433179,USD
HUMANA INC,HUM,444859102,2445063,0.070826,-,1469631,USD
CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,0.06914,-,9553934,USD
VENTAS INC,VTR,92276F100,2927925,0.069038,-,5949833,USD
EXELON CORP,EXC,30161N101,2670519,0.068612,-,12521574,USD
FERGUSON ENTERPRISES INC,FERG,31488V107,BS6VHW3,0.067924,-,2360700,USD
CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,0.067244,-,3583530,USD
BLOCK INC,XYZ,852234103,BYNZGK1,0.066996,-,6549338,USD
REPUBLIC SERVICES INC,RSG,760759100,2262530,0.066872,-,2447301,USD
NASDAQ INC,NDAQ,631103108,2965107,0.066754,-,5467508,USD
VISTRA CORP,VST,92840M102,BZ8VJQ8,0.066691,-,3878962,USD
AGILENT TECHNOLOGIES INC,A,00846U101,2520153,0.066195,-,3458585,USD
INTERACTIVE BROKERS GRO CL A,IBKR,45841N107,B1WT4X2,0.066194,-,5451422,USD
IDEXX LABORATORIES INC,IDXX,45168D104,2459202,0.065673,-,965551,USD
KEURIG DR PEPPER INC,KDP,49271V100,BD3W133,0.065558,-,16649869,USD
IQVIA HOLDINGS INC,IQV,46266C105,BDR73G1,0.06553,-,2042665,USD
YUM  BRANDS INC,YUM,988498101,2098876,0.065186,-,3373147,USD
OCCIDENTAL PETROLEUM CORP,OXY,674599105,2655408,0.064183,-,8885687,USD
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.06311,-,1234581,USD
PRUDENTIAL FINANCIAL INC,PRU,744320102,2819118,0.063092,-,4246295,USD
COINBASE GLOBAL INC  CLASS A,COIN,19260Q107,BMC9P69,0.063,-,2721972,USD
MSCI INC,MSCI,55354G100,B2972D2,0.062125,-,890744,USD
WATERS CORP,WAT,941848103,2937689,0.061501,-,1200001,USD
TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,0.061361,-,2130218,USD
AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.061283,-,6488143,USD
P G + E CORP,PCG,69331C108,2689560,0.061188,-,26949529,USD
PAYCHEX INC,PAYX,704326107,2674458,0.061006,-,3946885,USD
FLEX LTD,FLEX,Y2573F102,2353058,0.060787,-,4499300,USD
SYSCO CORP,SYY,871829107,2868165,0.060394,-,5851616,USD
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.060195,-,6622631,USD
DR HORTON INC,DHI,23331A109,2250687,0.060188,-,3227507,USD
WORKDAY INC CLASS A,WDAY,98138H101,B8K6ZD1,0.059934,-,2492829,USD
CONSOLIDATED EDISON INC,ED,209115104,2216850,0.059732,-,4510452,USD
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,0.058708,-,2375014,USD
EXPEDIA GROUP INC,EXPE,30212P303,B748CK2,0.05855,-,1400892,USD
ARCHER DANIELS MIDLAND CO,ADM,039483102,2047317,0.057731,-,5897441,USD
UNITED AIRLINES HOLDINGS INC,UAL,910047109,B4QG225,0.057669,-,3971849,USD
HARTFORD INSURANCE GROUP INC,HIG,416515104,2476193,0.057342,-,3354772,USD
KENVUE INC,KVUE,49177J102,BQ84ZQ6,0.056166,-,23496334,USD
VEEVA SYSTEMS INC CLASS A,VEEV,922475108,BFH3N85,0.056071,-,1837320,USD
NETAPP INC,NTAP,64110D104,2630643,0.056049,-,2418161,USD
KIMBERLY CLARK CORP,KMB,494368103,2491839,0.055765,-,4061768,USD
PUBLIC SERVICE ENTERPRISE GP,PEG,744573106,2707677,0.055264,-,6098358,USD
OLD DOMINION FREIGHT LINE,ODFL,679580100,2656423,0.05493,-,2239544,USD
IRON MOUNTAIN INC,IRM,46284V101,BVFTF03,0.054431,-,3640614,USD
VULCAN MATERIALS CO,VMC,929160109,2931205,0.053815,-,1587714,USD
M + T BANK CORP,MTB,55261F104,2340168,0.053283,-,1792218,USD
ARCH CAPITAL GROUP LTD,ACGL,G0450A105,2740542,0.052961,-,4258802,USD
WEC ENERGY GROUP INC,WEC,92939U106,BYY8XK8,0.052584,-,3986266,USD
NORTHERN TRUST CORP,NTRS,665859104,2648668,0.052311,-,2264290,USD
HUNTINGTON BANCSHARES INC,HBAN,446150104,2445966,0.051998,-,24807001,USD
RESMED INC,RMD,761152107,2732903,0.051933,-,1775045,USD
DEXCOM INC,DXCM,252131107,B0796X4,0.051893,-,4706455,USD
EQT CORP,EQT,26884L109,2319414,0.051111,-,7653868,USD
GE HEALTHCARE TECHNOLOGY,GEHC,36266G107,BL6JPG8,0.050883,-,5567036,USD
CARNIVAL CORP LTD,CCL,G2004J103,BVV7RC7,0.050712,-,15687889,USD
CROWN CASTLE INC,CCI,22822V101,BTGQCX1,0.050476,-,5350303,USD
KROGER CO,KR,501044101,2497406,0.050177,-,6941906,USD
EMCOR GROUP INC,EME,29084Q100,2474164,0.049777,-,544036,USD
WILLIS TOWERS WATSON PLC,WTW,G96629103,BDB6Q21,0.049581,-,1156026,USD
BIOGEN INC,BIIB,09062X103,2455965,0.049399,-,1809425,USD
JABIL INC,JBL,466313103,2471789,0.049283,-,1291062,USD
ZOETIS INC,ZTS,98978V103,B95WG16,0.049036,-,5130364,USD
CBOE GLOBAL MARKETS INC,CBOE,12503M108,B5834C5,0.049006,-,1283232,USD
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,0.048328,-,734954,USD
STEEL DYNAMICS INC,STLD,858119100,2849472,0.04742,-,1659432,USD
EXTRA SPACE STORAGE INC,EXR,30225T102,B02HWR9,0.046311,-,2584995,USD
CASEY S GENERAL STORES INC,CASY,147528103,2179414,0.046203,-,452918,USD
CENTENE CORP,CNC,15135B101,2807061,0.04608,-,5732710,USD
RAYMOND JAMES FINANCIAL INC,RJF,754730109,2718992,0.045865,-,2122883,USD
ARES MANAGEMENT CORP   A,ARES,03990B101,BF14BT1,0.045565,-,2580980,USD
COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.045224,-,5799250,USD
LIVE NATION ENTERTAINMENT IN,LYV,538034109,B0T7YX2,0.044732,-,1936743,USD
AMEREN CORPORATION,AEE,023608102,2050832,0.044728,-,3385642,USD
COPART INC,CPRT,217204106,2208073,0.044703,-,10845787,USD
CITIZENS FINANCIAL GROUP,CFG,174610105,BQRX1X3,0.044688,-,5174918,USD
TELEDYNE TECHNOLOGIES INC,TDY,879360105,2503477,0.043961,-,567059,USD
EDISON INTERNATIONAL,EIX,281020107,2829515,0.043546,-,4708919,USD
VICI PROPERTIES INC,VICI,925652109,BYWH073,0.043433,-,13359456,USD
ON SEMICONDUCTOR,ON,682189105,2583576,0.043003,-,4795811,USD
DTE ENERGY COMPANY,DTE,233331107,2280220,0.042862,-,2545921,USD
HALLIBURTON CO,HAL,406216101,2405302,0.042717,-,10219784,USD
METTLER TOLEDO INTERNATIONAL,MTD,592688105,2126249,0.042652,-,245965,USD
FISERV INC,FISV,337738108,2342034,0.042318,-,6525611,USD
INGERSOLL RAND INC,IR,45687V106,BL5GZ82,0.0423,-,4353578,USD
ATMOS ENERGY CORP,ATO,049560105,2315359,0.042103,-,2031874,USD
HERSHEY CO/THE,HSY,427866108,2422806,0.042063,-,1817200,USD
LABCORP HOLDINGS INC,LH,504922105,BSBK800,0.041919,-,1003850,USD
WILLIAMS SONOMA INC,WSM,969904101,2967589,0.041822,-,1440714,USD
OTIS WORLDWIDE CORP,OTIS,68902V107,BK531S8,0.041493,-,4695381,USD
DOVER CORP,DOV,260003108,2278407,0.04121,-,1649212,USD
SYNCHRONY FINANCIAL,SYF,87165B103,BP96PS6,0.041115,-,4116335,USD
QUEST DIAGNOSTICS INC,DGX,74834L100,2702791,0.040956,-,1354515,USD
DOLLAR GENERAL CORP,DG,256677105,B5B1S13,0.040903,-,2698323,USD
HP INC,HPQ,40434L105,BYX4D52,0.040882,-,11198898,USD
